open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
1705.0,1709.88,1690.0,1704.5,2967954,600519.SH,2024-05-16,贵州茅台,NA,CNY
1700.01,1716.58,1700.0,1715.0,2892388,600519.SH,2024-05-17,贵州茅台,NA,CNY
1717.99,1732.99,1708.11,1709.0,3142572,600519.SH,2024-05-20,贵州茅台,NA,CNY
1708.0,1709.73,1698.16,1705.0,1629339,600519.SH,2024-05-21,贵州茅台,NA,CNY
1703.0,1709.96,1691.0,1697.71,2028568,600519.SH,2024-05-22,贵州茅台,NA,CNY
1700.0,1706.38,1690.08,1692.01,1888497,600519.SH,2024-05-23,贵州茅台,NA,CNY
1693.0,1695.0,1677.0,1677.08,2021663,600519.SH,2024-05-24,贵州茅台,NA,CNY
1678.0,1687.45,1668.01,1670.12,2509791,600519.SH,2024-05-27,贵州茅台,NA,CNY
1670.4,1675.17,1663.0,1664.64,2352087,600519.SH,2024-05-28,贵州茅台,NA,CNY
1666.0,1680.0,1665.0,1674.0,1965128,600519.SH,2024-05-29,贵州茅台,NA,CNY
1675.0,1675.38,1649.0,1649.0,3220792,600519.SH,2024-05-30,贵州茅台,NA,CNY
1650.5,1663.5,1648.45,1648.45,2185665,600519.SH,2024-05-31,贵州茅台,NA,CNY
1650.0,1650.92,1635.11,1639.39,3026105,600519.SH,2024-06-03,贵州茅台,NA,CNY
1640.5,1656.0,1636.55,1653.2,2084108,600519.SH,2024-06-04,贵州茅台,NA,CNY
1652.0,1658.68,1643.03,1644.0,1905557,600519.SH,2024-06-05,贵州茅台,NA,CNY
1643.66,1651.99,1635.91,1639.81,2561005,600519.SH,2024-06-06,贵州茅台,NA,CNY
1646.13,1646.18,1619.01,1619.18,3352455,600519.SH,2024-06-07,贵州茅台,NA,CNY
1602.99,1605.0,1567.0,1569.0,7024676,600519.SH,2024-06-11,贵州茅台,NA,CNY
1570.0,1590.0,1570.0,1571.68,3317050,600519.SH,2024-06-12,贵州茅台,NA,CNY
1576.77,1576.89,1553.15,1555.01,3618597,600519.SH,2024-06-13,贵州茅台,NA,CNY
1555.0,1563.96,1520.46,1555.0,5951416,600519.SH,2024-06-14,贵州茅台,NA,CNY
1532.29,1548.77,1511.01,1541.5,4831816,600519.SH,2024-06-17,贵州茅台,NA,CNY
1530.89,1554.54,1516.68,1521.5,4125825,600519.SH,2024-06-18,贵州茅台,NA,CNY
1497.99,1504.0,1482.1,1501.0,4126153,600519.SH,2024-06-19,贵州茅台,NA,CNY
1500.0,1516.01,1498.0,1500.1,2471068,600519.SH,2024-06-20,贵州茅台,NA,CNY
1500.5,1504.98,1470.22,1471.0,4331997,600519.SH,2024-06-21,贵州茅台,NA,CNY
1423.0,1488.99,1414.01,1476.55,6383993,600519.SH,2024-06-24,贵州茅台,NA,CNY
1477.0,1502.99,1477.0,1486.65,4209795,600519.SH,2024-06-25,贵州茅台,NA,CNY
1480.0,1501.07,1477.8,1489.22,2956977,600519.SH,2024-06-26,贵州茅台,NA,CNY
1492.0,1493.97,1468.0,1490.49,3282178,600519.SH,2024-06-27,贵州茅台,NA,CNY
1480.0,1494.49,1464.0,1467.39,3858202,600519.SH,2024-06-28,贵州茅台,NA,CNY
1468.88,1472.99,1428.0,1440.38,3216138,600519.SH,2024-07-01,贵州茅台,NA,CNY
1433.0,1498.0,1433.0,1490.7,5185298,600519.SH,2024-07-02,贵州茅台,NA,CNY
1499.0,1513.01,1488.02,1500.0,3157326,600519.SH,2024-07-03,贵州茅台,NA,CNY
1505.0,1512.0,1481.13,1485.74,2437973,600519.SH,2024-07-04,贵州茅台,NA,CNY
1479.0,1493.18,1450.0,1453.0,3882938,600519.SH,2024-07-05,贵州茅台,NA,CNY
1443.0,1457.77,1419.14,1420.0,3952705,600519.SH,2024-07-08,贵州茅台,NA,CNY
1420.0,1454.89,1410.1,1438.03,3362071,600519.SH,2024-07-09,贵州茅台,NA,CNY
1439.25,1465.88,1435.0,1437.59,2376322,600519.SH,2024-07-10,贵州茅台,NA,CNY
1449.97,1469.0,1440.21,1462.09,2902014,600519.SH,2024-07-11,贵州茅台,NA,CNY
1473.01,1486.4,1465.45,1478.82,2338634,600519.SH,2024-07-12,贵州茅台,NA,CNY
1470.0,1488.0,1470.0,1474.9,1917626,600519.SH,2024-07-15,贵州茅台,NA,CNY
1476.0,1482.0,1465.05,1476.0,2031644,600519.SH,2024-07-16,贵州茅台,NA,CNY
1476.1,1503.0,1470.02,1501.4,3431101,600519.SH,2024-07-17,贵州茅台,NA,CNY
1499.5,1515.0,1492.53,1497.51,2887039,600519.SH,2024-07-18,贵州茅台,NA,CNY
1490.81,1529.18,1484.01,1525.62,3894291,600519.SH,2024-07-19,贵州茅台,NA,CNY
1525.03,1529.98,1491.65,1499.0,2854321,600519.SH,2024-07-22,贵州茅台,NA,CNY
1499.0,1501.0,1455.0,1455.0,3094396,600519.SH,2024-07-23,贵州茅台,NA,CNY
1450.2,1463.7,1435.0,1440.02,2412255,600519.SH,2024-07-24,贵州茅台,NA,CNY
1440.02,1448.0,1420.01,1430.49,2834656,600519.SH,2024-07-25,贵州茅台,NA,CNY
1430.49,1437.72,1410.9,1422.19,3235379,600519.SH,2024-07-26,贵州茅台,NA,CNY
1415.0,1421.99,1398.0,1398.02,3086907,600519.SH,2024-07-29,贵州茅台,NA,CNY
1385.98,1390.27,1361.3,1379.99,5177904,600519.SH,2024-07-30,贵州茅台,NA,CNY
1373.1,1427.27,1373.1,1421.28,4327232,600519.SH,2024-07-31,贵州茅台,NA,CNY
1418.0,1420.0,1384.7,1386.16,3203810,600519.SH,2024-08-01,贵州茅台,NA,CNY
1373.6,1396.97,1373.6,1385.45,2192769,600519.SH,2024-08-02,贵州茅台,NA,CNY
1388.88,1426.0,1385.52,1410.01,3773607,600519.SH,2024-08-05,贵州茅台,NA,CNY
1422.0,1424.0,1394.01,1404.7,2744433,600519.SH,2024-08-06,贵州茅台,NA,CNY
1405.5,1421.99,1398.3,1415.5,2062221,600519.SH,2024-08-07,贵州茅台,NA,CNY
1411.0,1448.18,1409.0,1430.69,2513082,600519.SH,2024-08-08,贵州茅台,NA,CNY
1460.03,1469.0,1436.8,1436.8,3013849,600519.SH,2024-08-09,贵州茅台,NA,CNY
1430.0,1443.0,1426.58,1436.1,1363203,600519.SH,2024-08-12,贵州茅台,NA,CNY
1433.0,1435.0,1412.01,1423.01,1630843,600519.SH,2024-08-13,贵州茅台,NA,CNY
1423.01,1424.9,1412.02,1413.3,1341431,600519.SH,2024-08-14,贵州茅台,NA,CNY
1405.03,1435.99,1403.95,1426.89,2303897,600519.SH,2024-08-15,贵州茅台,NA,CNY
1426.79,1435.92,1417.01,1431.2,1645470,600519.SH,2024-08-16,贵州茅台,NA,CNY
1432.0,1458.88,1425.0,1425.44,2043279,600519.SH,2024-08-19,贵州茅台,NA,CNY
1429.9,1429.93,1414.0,1422.72,1859138,600519.SH,2024-08-20,贵州茅台,NA,CNY
1420.0,1427.98,1415.69,1417.58,1509165,600519.SH,2024-08-21,贵州茅台,NA,CNY
1416.0,1420.0,1400.01,1410.05,1952729,600519.SH,2024-08-22,贵州茅台,NA,CNY
1408.0,1423.5,1406.12,1414.99,1532046,600519.SH,2024-08-23,贵州茅台,NA,CNY
1417.0,1423.86,1403.15,1412.0,1562841,600519.SH,2024-08-26,贵州茅台,NA,CNY
1412.0,1413.0,1401.11,1404.07,1365740,600519.SH,2024-08-27,贵州茅台,NA,CNY
1404.07,1406.0,1375.0,1389.0,3166351,600519.SH,2024-08-28,贵州茅台,NA,CNY
1380.0,1418.0,1380.0,1413.3,2747161,600519.SH,2024-08-29,贵州茅台,NA,CNY
1413.0,1458.07,1405.0,1443.19,3873923,600519.SH,2024-08-30,贵州茅台,NA,CNY
1430.0,1438.0,1395.0,1395.0,3413459,600519.SH,2024-09-02,贵州茅台,NA,CNY
1398.0,1414.98,1393.02,1410.0,1788760,600519.SH,2024-09-03,贵州茅台,NA,CNY
1402.0,1419.19,1399.74,1400.0,1421109,600519.SH,2024-09-04,贵州茅台,NA,CNY
1400.5,1407.0,1397.0,1404.88,1450295,600519.SH,2024-09-05,贵州茅台,NA,CNY
1405.0,1406.0,1398.0,1398.0,1032104,600519.SH,2024-09-06,贵州茅台,NA,CNY
