ths_fore_np_fy1_stock,ths_fore_np_fy2_stock,ths_fore_np_fy3_stock,ths_fore_np_in12m_stock,ths_fore_np_yoy_stock,ths_fore_mbi_fy1_stock,ths_fore_mbi_fy2_stock,ths_fore_mbi_fy3_stock,ths_fore_mbi_yoy_stock,thscode,time,ths_pe_lyr_stock,ths_peg_lyr_stock,ths_pb_mrq_stock,ths_ps_lyr_stock,ths_dividend_rate_stock_stock,ths_per_lyr_stock
2898976819.4211,3621562259.6842,4250229285.7143,3168214134.1493,33.207109470907,17614371666.667,20580763333.333,23300305714.286,17.714450079706,603019.SH,,,,,,,
,,,,,,,,,603019.SH,,63.505201511913,4.5774998431797,6.1273085358269,9.236113453368,,39.386180928923
